"Rank","Mark","WIND","Competitor","DOB","Nat","Pos","Venue","Date","Results.Score","year"
"4686","10.40","+2.0","Justin WILSON","","USA","3h1","Hutchinson, KS (USA)","15 MAY 2015","1072","2015"
"4686","10.40","+1.9","Ramone BAILEY","31 OCT 1991","JAM","3h2","Ames, IA (USA)","16 MAY 2015","1072","2015"
"4686","10.40","+1.8","Jared LOVE","","USA","3h2","Austin, TX (USA)","28 MAY 2015","1072","2015"
"4686","10.40","-1.9","Samuel TOMLINSON","","JAM","3h2","Kingston (JAM)","25 JUN 2015","1083","2015"
"4686","10.40","+0.9","Jeffery JOSEPHS","15 APR 1991","JAM","2","Fort Worth, TX (USA)","25 JUN 2015","1072","2015"
"4686","10.40","+1.0","Daichi TOKUNAGA","27 SEP 1991","JPN","1","Okayama (JPN)","27 JUN 2015","1072","2015"
"4686","10.40","+0.7","Pierre VINCENT","20 FEB 1992","FRA","5","Villeneuve d'Ascq (FRA)","11 JUL 2015","1072","2015"
"4686","10.40","+1.7","Demarvie GRAY","07 FEB 1998","USA","1h5","Dallas, TX (USA)","18 MAR 2016","1072","2016"
"4686","10.40","+0.6","Charles ANUMNU","24 JUN 1995","USA","1","Los Angeles, CA (USA)","26 MAR 2016","1072","2016"
"4686","10.40","+1.5","Jerimy STRAINGE","17 FEB 1994","USA","2","Atlanta, GA (USA)","23 APR 2016","1072","2016"
"4686","10.40","+0.5","Abdullah ISWANDI","1991","INA","1","Singapore (SGP)","28 APR 2016","1072","2016"
"4686","10.40","+1.1","Eric STOKES","","USA","1h1","Jefferson, GA (USA)","12 MAY 2016","1072","2016"
"4686","10.40","+1.6","Kossi TCHENAWOU","","USA","1h1","Greeley, CO (USA)","13 MAY 2016","1072","2016"
"4686","10.40","+1.4","Daniel ESTRADA","24 JUL 1998","PUR","2","Greensboro, NC (USA)","21 MAY 2016","1072","2016"
"4686","10.40","+1.6","Dannish WALKER-KHAN","02 AUG 1992","GBR","1h1","Newham (GBR)","25 MAY 2016","1072","2016"
"4686","10.40","+0.9","Kenneth JACKSON","","USA","3h2","Bradenton, FL (USA)","26 MAY 2016","1072","2016"
"4686","10.40","+1.1","Anthony SIMPSON","","USA","1h1","Waverly, IA (USA)","27 MAY 2016","1072","2016"
"4686","10.40","+1.3","O.J. STONEHAM","11 NOV 1989","USA","2","San Marcos, TX (USA)","17 JUN 2016","1072","2016"
"4686","10.40","+1.2","Desmond ARYEE","24 JAN 1992","GHA","","Johannesburg (RSA)","30 JUN 2016","1072","2016"
"4686","10.40","+1.2","Yuma SAITO","28 AUG 1998","JPN","1sf2","Nagoya (JPN)","22 OCT 2016","1072","2016"
"4686","10.40","+1.8","Tom KOETSENRUIJTER","12 AUG 1993","NED","2","Francistown (BOT)","11 MAR 2017","1072","2017"
"4686","10.40","+0.3","Emmanuel TAIT","","USA","2","Birmingham, AL (USA)","12 MAY 2017","1072","2017"
"4686","10.40","+1.6","Danylo KURTA","08 APR 1996","UKR","1h4","Kropyvnytskiy (UKR)","21 JUN 2017","1072","2017"
"4686","10.40","+0.3","Binglin ZHU","02 JAN 1993","CHN","7","Guiyang (CHN)","25 JUN 2017","1072","2017"
"4686","10.40","-0.1","Robin VANDERBEMDEN","10 FEB 1994","BEL","1f1","Liège (BEL)","19 JUL 2017","1072","2017"
"4686","10.40","+1.3","Thandaza ZWANE","01 DEC 1992","SWZ","3f2","Pretoria (RSA)","08 MAR 2018","1072","2018"
"4686","10.40","+1.9","Rafael de Jesús VÁZQUEZ LEÓN","14 DEC 1994","VEN","1","Concepción del Uruguay (ARG)","25 MAR 2018","1072","2018"
"4686","10.40","+1.0","Timothy DUCKWORTH","18 JUN 1996","GBR","1ce","Athens, GA (USA)","06 APR 2018","1072","2018"
"4686","10.40","+0.7","Tshenolo LEMAO","17 JUN 2000","RSA","2f2","Potchefstroom (RSA)","19 APR 2018","1072","2018"
"4686","10.40","+1.0","Tae-kyu KIM","19 NOV 1999","KOR","1","Kimchun (KOR)","03 MAY 2018","1072","2018"
"4686","10.40","+0.4","Nathan FARINHA","16 MAY 1996","TTO","5f2","Port-of-Spain (TTO)","23 JUN 2018","1072","2018"
"4686","10.40","+1.0","Muhammad Zulfiqar BIN ISMAIL","31 JAN 1999","MAS","2f5","Besigheim (GER)","25 JUL 2018","1072","2018"
"4686","10.40","+1.4","Christian GRUBB","","USA","1","Arcadia, CA (USA)","06 APR 2019","1072","2019"
"4686","10.40","+1.3","Michael CARSON","1995","USA","1h4","Hickory, NC (USA)","18 APR 2019","1072","2019"
"4686","10.40","+0.5","Lehlogonolo SEPOTOKELE","24 MAY 1998","RSA","5","Germiston (RSA)","25 APR 2019","1072","2019"
"4686","10.40","+1.5","Mfundo MZOBE","13 SEP 1998","RSA","3sf3","Germiston (RSA)","25 APR 2019","1072","2019"
"4686","10.40","+2.0","Leeroy HENRIETTE","07 JAN 1991","SEY","3f2","Gaborone (BOT)","27 APR 2019","1072","2019"
"4686","10.40","+1.3","Lance BROOME","","USA","3","Austin, TX (USA)","11 MAY 2019","1072","2019"
"4686","10.40","+2.0","Kendall TURNER","","USA","3","Riverside, CA (USA)","11 MAY 2019","1072","2019"
"4686","10.40","+1.5","Antonio WOODARD","17 JAN 1997","USA","7","Iowa City, IA (USA)","12 MAY 2019","1072","2019"
"4686","10.40","+0.9","Raphael MÜLLER","31 JUL 1994","GER","1","Pforzheim (GER)","19 MAY 2019","1072","2019"
"4686","10.40","+1.9","Myles WEBB","","USA","6h5","Sacramento, CA (USA)","23 MAY 2019","1072","2019"
"4686","10.40","+1.6","Dante BROWN","","USA","4","Gulf Shores, AL (USA)","25 MAY 2019","1072","2019"
"4686","10.40","+0.2","Raymond Moises URBINO TEJADA","11 JUN 1997","DOM","3f1","Estadio Olimpico Juan Pablo Duarte, Santo Domingo (DOM)","30 MAY 2019","1072","2019"
"4686","10.40","+0.8","Albert RANNING","21 MAR 1998","DEN","1f1","Odense (DEN)","01 JUN 2019","1072","2019"
"4686","10.40","+1.8","Nikita CHABAN","01 APR 1997","RUS","3","Kaluga (RUS)","14 JUN 2019","1072","2019"
"4686","10.40","+1.7","Jamu GRAHAM","","JAM","1pr2","Kingston (JAM)","20 JUN 2019","1072","2019"
"4686","10.40","+1.2","Danelson MAHAUTIERE","15 MAR 2000","DMA","2h2","San José (CRC)","19 JUL 2019","1072","2019"
"4686","10.40","+1.6","Aliffer Junior DOS SANTOS","18 APR 1997","BRA","6h2","CNDA, Bragança Paulista (BRA)","29 AUG 2019","1072","2019"
"4686","10.40","0.0","Bence BOROS","24 DEC 1996","HUN","1","Lantos Mihály Sportközpont, Budapest (HUN)","31 AUG 2019","1072","2019"
"4686","10.40","+1.7","Ja'Maun CHARLES","01 OCT 1997","USA","2f1","Puryear Field at the Pine Bowl/Boppell Track, Spokane, WA (USA)","17 APR 2021","1072","2021"
"4686","10.40","+0.5","Kevar WILLIAMS","2004","USA","1f2","Flagler Palm Coach HS Track, Bunnell, FL (USA)","01 MAY 2021","1072","2021"
"4686","10.40","+0.9","Brenen THOMPSON","","USA","2","Mike A. Myers Stadium, Austin, TX (USA)","06 MAY 2021","1072","2021"
"4686","10.40","+0.9","Hayato WATANABE","25 MAY 2002","JPN","3h1","Gion Stadium, Sagamihara (JPN)","20 MAY 2021","1072","2021"
"4686","10.40","+2.0","Javon RAWLINS","09 APR 2000","VIN","1f4","National Stadium, Kingston (JAM)","29 MAY 2021","1072","2021"
"4686","10.40","+0.4","Jeffrey JOHN","06 JUN 1992","FRA","4f1","Stade des Maradas, Cergy-Pontoise (FRA)","16 JUN 2021","1072","2021"
"4686","10.40","+0.8","Mark SMYTH","02 JUL 1998","IRL","1er1","South Sports Campus, Carlow (IRL)","25 JUL 2021","1072","2021"
"4686","10.40","+0.5","Shunsuke FUJIMOTO","06 APR 1997","JPN","1h5","Shinshu SkyPark Athletic Field, Matsumoto (JPN)","22 AUG 2021","1072","2021"
"4686","10.40","-0.7","Siyabonga NYATHI","25 JUL 1999","RSA","1f1","Bestmed Tuks Stadium, Pretoria (RSA)","02 MAR 2022","1076","2022"
"4686","10.40","+1.5","Derrick HARBIN","","USA","1f1","West Texas A&M University Track & Soccer Complex, Canyon, TX (USA)","19 MAR 2022","1072","2022"
"4686","10.40","-0.1","Max THOMAS","","USA","1","Arcadia HS Track, Arcadia, CA (USA)","09 APR 2022","1072","2022"
"4686","10.40","+1.7","Jhavonte' PERRY","","USA","4f1","Mike Sanders Track & Field Complex, Starkville, MS (USA)","30 APR 2022","1072","2022"
"4686","10.40","+0.5","Jameel WALKES-MILLER","15 DEC 2000","BAR","1","Greene Stadium, Mo Peters Track, Bolivar, MO (USA)","06 MAY 2022","1072","2022"
"4686","10.40","+1.2","Joseph O'BRIEN","","USA","1h2","George J. Sherman Family Sports Complex, Storrs, CT (USA)","13 MAY 2022","1072","2022"
"4686","10.40","+2.0","Justen BURNETTE","","USA","1h3","Ray McDonald, Sr., Track Complex, Mount Olive, NC (USA)","14 MAY 2022","1072","2022"
"4686","10.40","+0.7","Sipho BOYA","08 MAR 1998","RSA","4h2","GVSU Track/Lacrosse Stadium, Allendale, MI (USA)","26 MAY 2022","1072","2022"
"4686","10.40","+1.8","Jiale TANG","30 DEC 2002","CHN","1","Shanghai (CHN)","27 MAY 2022","1072","2022"
"4686","10.40","+0.6","Slavi MUTAFOV","28 MAR 2000","BUL","1","Stadium Ivaylo, Veliko Tarnovo (BUL)","11 JUN 2022","1072","2022"
"4686","10.40","+1.1","Jayval WRIGHT","19 NOV 2002","JAM","1h1","National Stadium, Kingston (JAM)","23 JUN 2022","1072","2022"
"4686","10.40","-0.3","Sho MIZUSAKI","17 JUL 2003","JPN","1sf1","Niigatashi Field, Niigata (JPN)","17 JUL 2022","1073","2022"
"4686","10.40","+1.4","Kento NAKAJIMA","09 JUN 2001","JPN","1f23","NITTAIDAI Athletic Stadium, Yokohama (JPN)","11 AUG 2022","1072","2022"
"4686","10.40","+1.0","Ben SNAITH","17 SEP 1995","GBR","2er2","Stratford Community Track, London (GBR)","14 AUG 2022","1072","2022"
"4686","10.40","+0.2","Aleksa KIJANOVIĆ","31 MAR 1997","SRB","1","Military Academy Stadium, Beograd (SRB)","30 AUG 2022","1072","2022"
"4686","10.40","+0.6","Yuga TSUJINAKA","11 AUG 2000","JPN","5sf3","Takebishi Stadium, Kyoto (JPN)","09 SEP 2022","1072","2022"
"4686","10.40","+0.9","Ali JASSEM","","UAE","1","Dubai (UAE)","19 NOV 2022","1072","2022"
"4686","10.40","+1.6","Jagga PYBUS","12 JUN 2001","AUS","2","Domain Athletic Centre, Hobart (AUS)","21 DEC 2022","1072","2022"
"4686","10.40","+1.4","Larona MAYANA","17 AUG 2001","BOT","1f6","National Stadium, Gaborone (BOT)","04 MAR 2023","1072","2023"
"4686","10.40","+0.4","Sibusiso MCOSANA","16 JUN 2004","RSA","1","Pilditch Stadium, Pretoria (RSA)","11 MAR 2023","1072","2023"
"4686","10.40","+2.0","Abdulazeez OYETUNJI","18 NOV 2001","NGR","1f3","Cessna Stadium, Wichita, KS (USA)","25 MAR 2023","1072","2023"
"4686","10.40","+1.1","Shaquane GORDON","28 SEP 2006","JAM","1","National Stadium, Kingston (JAM)","29 MAR 2023","1072","2023"
"4686","10.40","+1.6","Raheem PINNOCK","21 FEB 2005","JAM","1sf3","National Stadium, Kingston (JAM)","29 MAR 2023","1072","2023"
"4686","10.40","+1.0","Musibau ADEBISI","2005","NGR","3f1","Ahmadu Bello Stadium, Kaduna (NGR)","30 MAR 2023","1072","2023"
"4686","10.40","-0.6","Ethan EXILHOMME","2003","USA","2f2","UMiami Cobb Stadium, Coral Gables, FL (USA)","08 APR 2023","1075","2023"
"4686","10.40","+1.4","Ashton O'CONNER","2000","USA","4f3","Terry & Linda Fuller T&F Complex, Lubbock, TX (USA)","29 APR 2023","1072","2023"
"4686","10.40","+2.0","Tajae FRANCIS","29 DEC 2002","JAM","1f4","Terry & Linda Fuller T&F Complex, Lubbock, TX (USA)","29 APR 2023","1072","2023"
"4686","10.40","+1.6","So KUBOI","30 AUG 2003","JPN","6sf1","Gion Stadium, Sagamihara (JPN)","12 MAY 2023","1072","2023"
"4686","10.40","+1.1","Da'Marqis LEWIS","","USA","2","Mike A. Myers Stadium, Austin, TX (USA)","12 MAY 2023","1072","2023"
"4686","10.40","+1.6","Fabio LUGINBÜHL","02 OCT 1998","SUI","1f1","Stadion Hard, Langenthal (SUI)","18 MAY 2023","1072","2023"
"4686","10.40","+1.2","John CLIFFORD","08 APR 2002","NGR","6pr4","Hornet Stadium - Sac St., Sacramento, CA (USA)","24 MAY 2023","1072","2023"
"4686","10.40","+1.6","Lenyn Kish LEONCE","13 MAR 1991","LCA","2h1","Stade L. Achille, Fort-de-France (FRA)","27 MAY 2023","1072","2023"
"4686","10.40","+1.7","Rendel VERMEULEN","12 AUG 2003","BEL","2f2","FBK Stadium, Hengelo (NED)","04 JUN 2023","1072","2023"
"4686","10.40","-1.2","Lennart HARTENBERG","20 MAR 2004","GER","1f1","Michael-Hoffmann-Stadion, Mannheim (GER)","24 JUN 2023","1079","2023"
"4686","10.40","+1.6","Yuya FUJIWARA","14 SEP 2002","JPN","2h2","Athletic Stadium, Tottori (JPN)","25 JUN 2023","1072","2023"
"4686","10.40","-0.1","Adam ŁUKOMSKI","06 SEP 2001","POL","1","Stadion OSiR, Wloclawek (POL)","01 JUL 2023","1072","2023"
"4686","10.40","+1.0","Fenghe FANG","05 OCT 2001","CHN","1h23","Athletics Field of Anhui Vocational and Technical College, Hefei (CHN)","10 AUG 2023","1072","2023"
"4686","10.40","+0.9","Jim-yung JOO","11 APR 1989","KOR","3h3","Mokpo (KOR)","15 OCT 2023","1072","2023"
"4686","10.40","+1.7","Rory EASTON","13 NOV 2004","AUS","2f1","QSAC State Athletics Facility, Nathan, Brisbane (AUS)","16 DEC 2023","1072","2023"
"4686","10.40","+1.3","Justine Mogoi ISABOKE","28 FEB 1996","KEN","2sf2","Nyayo National Stadium, Nairobi (KEN)","26 JAN 2024","1072","2024"
"4686","10.40","+1.1","Andre HARRIS","11 OCT 2004","JAM","1h3","National Stadium, Kingston (JAM)","16 MAR 2024","1072","2024"
"4686","10.40","-0.1","Justice CHIVWAMBA","27 JUL 2003","ZAM","5h1","University of Ghana Sports Stadium, Accra (GHA)","18 MAR 2024","1072","2024"
"4686","10.40","+1.4","Floyd POND","11 JAN 1999","DMA","2f2","LSU Bernie Moore Stadium, Baton Rouge, LA (USA)","23 MAR 2024","1072","2024"
"4686","10.40","+1.9","Mason LAWYER","","USA","3","Cobb Track and Angell Field, Palo Alto, CA (USA)","30 MAR 2024","1072","2024"
"4686","10.40","+2.0","Taiki OYAMA","28 DEC 2002","JPN","h1","Kyushu Kyoritsu University Stadium, Kitakyushu (JPN)","01 APR 2024","1072","2024"
"4686","10.40","+0.2","Xinkai WANG","13 MAY 2004","CHN","4sf3","HOC Stadium, Hangzhou (CHN)","13 APR 2024","1072","2024"
"4686","10.40","+1.4","Ethan SCHOLTEN","","USA","1","GVSU Track/Lacrosse Stadium, Allendale, MI (USA)","03 MAY 2024","1072","2024"
"4686","10.40","+1.0","Noureddine HADID","28 JAN 1993","LBN","1f2","Dubai Police Club Stadium, Dubai (UAE)","03 MAY 2024","1072","2024"
"4686","10.40","+1.2","Garrett WILKINS","","USA","6","UL Monroe Brown Stadium, Monroe, LA (USA)","11 MAY 2024","1072","2024"
"4686","10.40","+1.0","Cristian ROIBAN","08 AUG 2000","ROU","1","Stadionul de atletism ""Nicolae Mărășescu"", Craiova (ROU)","18 MAY 2024","1072","2024"
"4686","10.40","-0.3","Xavier BUTLER","","USA","4pr5","John McDonnell Field, Fayetteville, AR (USA)","22 MAY 2024","1073","2024"
"4686","10.40","+1.0","Jun YANG","23 OCT 2003","CHN","3","Olympic Sports Center, Huangshi (CHN)","02 JUN 2024","1072","2024"
"4686","10.40","0.0","Oscar Manuel BALTAN","03 DEC 2003","COL","6","Gobierno Autónomo Municipal de Cochabamba, Cochabamba (BOL)","08 JUN 2024","1072","2024"
"4974","10.41","0.0","Bill TOOMEY","10 JAN 1939","USA","1ce3","Estadio Olímpico, Ciudad de México (MEX)","18 OCT 1968","1069","1968"
"4974","10.41","-0.2","Gerald BURL","21 FEB 1956","USA","1","Tempe, AZ (USA)","09 APR 1977","1070","1977"
"4974","10.41","0.0","James BROWN","06 MAR 1957","USA","3sf1","Champaign, IL (USA)","03 JUN 1977","1069","1977"
"4974","10.41","+1.6","Bernhard HOFF","10 JAN 1959","GDR","5","Dresden (GER)","01 JUL 1977","1069","1977"
"4974","10.41","+0.6","Endre LÉPOLD","21 OCT 1955","HUN","3h8","Sofia (BUL)","19 AUG 1977","1069","1977"
"4974","10.41","0.0","Stefano CURINI","05 APR 1953","ITA","2","Roma (ITA)","25 JUL 1978","1069","1978"
"4974","10.41","","Mike KELLEY","15 JUL 1957","USA","4","Wichita, KS (USA)","26 MAY 1979","1069","1979"
"4974","10.41","","Fred ACORN","17 MAR 1961","USA","1","McAllen, TX (USA)","22 MAR 1980","1069","1980"
"4974","10.41","+0.9","Marek RADTKE","12 JUN 1955","POL","2","Warszawa (POL)","18 JUN 1981","1069","1981"
"4974","10.41","","Rick REYNOLDS","26 MAR 1960","USA","2f2","Cape Girardeau, MO (USA)","03 APR 1982","1069","1982"
"4974","10.41","+1.9","Marion MCCOY","20 NOV 1949","USA","3f2","Los Angeles, CA (USA)","01 MAY 1982","1069","1982"
"4974","10.41","","Aleksandr CHERKASHIN","1953","URS","2","Moskva (URS)","05 AUG 1982","1069","1982"
"4974","10.41","+1.8","Toshio TOYOTA","19 JUL 1956","JPN","2","Matsue (JPN)","06 OCT 1982","1069","1982"
"4974","10.41","+0.9","Herman BOHMER","24 JUN 1959","RSA","2","Bloemfontein (RSA)","15 APR 1983","1069","1983"
"4974","10.41","+1.7","Rod MCSWAIN","28 JAN 1962","USA","2","Raleigh, NC (USA)","08 MAY 1983","1069","1983"
"4974","10.41","+1.8","Terrence TOATLEY","07 DEC 1961","USA","1","Clemson, SC (USA)","14 MAY 1983","1069","1983"
"4974","10.41","","Nak-kun SUNG","26 MAY 1962","KOR","1","Seoul (KOR)","31 MAY 1983","1069","1983"
"4974","10.41","","Paul STANCIU","03 FEB 1960","ROU","1","Bucureşti (ROU)","04 JUN 1983","1069","1983"
"4974","10.41","","Donny YOUNG","10 OCT 1962","USA","1","Oxford, OH (USA)","07 APR 1984","1069","1984"
"4974","10.41","+1.7","William SNODDY","06 DEC 1957","USA","1f1","Walnut, CA (USA)","28 APR 1984","1069","1984"
"4974","10.41","+0.4","Guido LIESKE","23 JUL 1964","GDR","2","Potsdam (GDR)","05 MAY 1984","1069","1984"
"4974","10.41","+1.0","Byron STROUD","23 JAN 1965","USA","3","San Angelo, TX (USA)","18 MAY 1984","1069","1984"
"4974","10.41","+1.3","Karsten SCHULDT","27 JUL 1961","GDR","h","Dresden (GER)","02 MAY 1985","1069","1985"
"4974","10.41","","Neil LEFFALL","","USA","h","Odessa, TX (USA)","16 MAY 1985","1069","1985"
"4974","10.41","+2.0","Ronnie DENNIS","24 OCT 1964","USA","6","Starkville, MS (USA)","18 MAY 1985","1069","1985"
"4974","10.41","","Carl CARTER","07 MAR 1964","USA","3","Austin, TX (USA)","22 MAR 1986","1069","1986"
"4974","10.41","+0.1","Harold MADOX","26 DEC 1965","USA","2","Odessa, TX (USA)","16 MAY 1986","1069","1986"
"4974","10.41","","Jarrett COOPER","10 NOV 1967","USA","2","Charleston, IL (USA)","24 MAY 1986","1069","1986"
"4974","10.41","+2.0","Thierry LAURET","21 FEB 1965","FRA","1","Toulouse (FRA)","22 JUN 1986","1069","1986"
"4974","10.41","+0.3","Steve MORGAN","03 APR 1965","JAM","3","Villanova, PA (USA)","24 MAY 1987","1069","1987"
"4974","10.41","+1.6","Michael DWYER","10 OCT 1962","CAN","3","Ottawa (CAN)","01 AUG 1987","1069","1987"
"4974","10.41","","Mike MURPHY","20 SEP 1967","USA","h","Natchitoches, LA (USA)","30 APR 1988","1069","1988"
"4974","10.41","+0.8","Konstantin PETROV","23 SEP 1965","URS","3","Leningrad (URS)","18 JUN 1988","1069","1988"
"4974","10.41","+0.4","Jiří HUDEC","15 AUG 1964","TCH","1","Praha (TCH)","21 JUN 1988","1069","1988"
"4974","10.41","","Edgardo GUILBE","10 MAR 1966","PUR","1h","San Juan (PUR)","15 APR 1989","1069","1989"
"4974","10.41","+0.6","Yuriy KRAVETS","28 MAR 1965","URS","2sf","Donetsk (URS)","16 JUN 1989","1069","1989"
"4974","10.41","+1.6","Susumu TAKANO","21 MAY 1961","JPN","3","Tokyo (JPN)","18 JUN 1989","1069","1989"
"4974","10.41","+1.9","Sylwester MACHAJ","14 APR 1965","POL","2h1","Sofia (BUL)","09 JUL 1989","1069","1989"
"4974","10.41","+0.8","Robert SCOTT","1972","USA","1","Winter Park, FL (USA)","12 MAY 1990","1069","1990"
"4974","10.41","","Vitaliy SEMYONOV","01 APR 1972","URS","1h","Moskva (URS)","14 JUN 1990","1069","1990"
"4974","10.41","+1.5","Noriaki NAGAYA","04 SEP 1972","JPN","1","Nagano (JPN)","26 AUG 1990","1069","1990"
"4974","10.41","","Darryl RAY","09 FEB 1970","USA","h","Atlanta, GA (USA)","23 MAR 1991","1069","1991"
"4974","10.41","+1.9","Cengiz KAVAKLIOGLU","11 SEP 1968","TUR","1","Athina (GRE)","22 JUN 1991","1069","1991"
"4974","10.41","+2.0","Khaled Ibrahim JOUMA","25 DEC 1962","BRN","1h2","Latakia (SYR)","01 OCT 1991","1069","1991"
"4974","10.41","+0.5","Steve LEWIS","16 MAY 1969","USA","1","Irvine, CA (USA)","24 APR 1992","1069","1992"
"4974","10.41","","Brian PROCTOR","25 MAY 1970","USA","1","New Haven, CT (USA)","09 MAY 1992","1069","1992"
"4974","10.41","","Greg ALLEN","08 FEB 1973","USA","1","Gary, IN (USA)","21 MAY 1992","1069","1992"
"4974","10.41","+1.1","Rafael GRUSZECKI","11 FEB 1974","GER","2","Mönchengladbach (GER)","10 JUL 1992","1069","1992"
"4974","10.41","+0.4","Charles MITCHELL","29 JAN 1975","USA","1","Sacramento, CA (USA)","12 JUN 1993","1069","1993"
"4974","10.41","0.0","Alexander LACK","04 JUN 1972","GER","1f2","Rostock (GER)","28 AUG 1993","1069","1993"
"4974","10.41","+1.4","Nico SCHUTTE","25 JUN 1964","RSA","1","Boksburg (RSA)","09 MAR 1994","1069","1994"
"4974","10.41","+2.0","Isaac CARSON","23 FEB 1973","USA","4","El Paso, TX (USA)","02 APR 1994","1069","1994"
"4974","10.41","+1.3","Eddie KENNISON","20 JAN 1973","USA","2f2","El Paso, TX (USA)","16 APR 1994","1069","1994"
"4974","10.41","+0.4","Walter REED","04 JUN 1974","USA","1","Missoula, MT (USA)","21 MAY 1994","1069","1994"
"4974","10.41","+1.8","Patrick BACHMANN","22 AUG 1972","SUI","1f2","Genève (SUI)","18 JUN 1994","1069","1994"
"4974","10.41","+1.3","Mohamed HOSNI","15 FEB 1972","SGP","5h5","Victoria (CAN)","22 AUG 1994","1069","1994"
"4974","10.41","+0.4","Dino PHILYAW","30 OCT 1970","USA","2","Tucson, AZ (USA)","20 MAY 1995","1069","1995"
"4974","10.41","","Iram LEWIS","03 MAY 1965","BAH","2sf3","Ciudad de Guatemala (GUA)","14 JUL 1995","1069","1995"
"4974","10.41","+1.8","Tobias KARLSSON","08 MAY 1974","SWE","4","Sollentuna (SWE)","21 JUL 1995","1069","1995"
"4974","10.41","+0.1","Riaan DEMPERS","04 MAR 1977","RSA","5","Johannesburg (RSA)","23 SEP 1995","1069","1995"
"4974","10.41","+0.5","Hsin-Ping HUANG","10 SEP 1976","TPE","1","Kaohsiung (TPE)","26 OCT 1995","1069","1995"
"4974","10.41","+0.7","Anthony JARRETT","13 AUG 1968","GBR","3","Pietersburg (RSA)","03 APR 1996","1069","1996"
"4974","10.41","0.0","David DOPEK","08 FEB 1973","USA","1","Bloomington, IN (USA)","05 MAY 1996","1069","1996"
"4974","10.41","0.0","Anthony GARDNER","19 SEP 1980","GBR","1","Loughborough (GBR)","19 MAY 1996","1069","1996"
"4974","10.41","+1.5","Ioannis NAFPLIOTIS","15 JAN 1970","GRE","5","Rethymno (GRE)","25 MAY 1996","1069","1996"
"4974","10.41","+0.5","Eric HALL","28 MAR 1978","USA","5","Auburn, AL (USA)","18 MAY 1997","1069","1997"
"4974","10.41","+1.5","Robert DENNIS","01 MAY 1975","LBR","2h1","Fairfax, VA (USA)","24 MAY 1997","1069","1997"
"4974","10.41","-0.2","Andreas RUTH","31 MAR 1970","GER","2","Ludwigshafen (GER)","12 JUL 1997","1070","1997"
"4974","10.41","+0.3","Eduard MARTIN","26 FEB 1977","GER","qf","Troisdorf (GER)","19 JUL 1997","1069","1997"
"4974","10.41","0.0","Fred COLLIER","06 FEB 1976","USA","1","Starkville, MS (USA)","09 MAY 1998","1069","1998"
"4974","10.41","0.0","Elmar LICHTENEGGER","25 MAY 1974","AUT","1","Feldkirch (AUT)","19 JUL 1998","1069","1998"
"4974","10.41","+1.9","Wu-Shiun TAO","08 MAY 1973","TPE","sf","Bangkok (THA)","13 DEC 1998","1069","1998"
"4974","10.41","+0.7","Morné JAMES","26 MAR 1976","RSA","6","Durban (RSA)","05 MAR 1999","1069","1999"
"4974","10.41","-1.8","Michael BLEVINS","06 JUN 1979","USA","1","Albany, NY (USA)","17 APR 1999","1079","1999"
"4974","10.41","+1.7","Luke DRILLING","13 JUL 1978","USA","h","Des Moines, IA (USA)","23 APR 1999","1069","1999"
"4974","10.41","-0.2","Allen JOHNSON","01 MAR 1971","USA","7","Raleigh, NC (USA)","12 JUN 1999","1070","1999"
"4974","10.41","0.0","Thomas PRANGE","25 MAR 1974","GER","1","Kreuztal (GER)","04 AUG 1999","1069","1999"
"4974","10.41","+2.0","Kesrick FRASER","14 MAR 1975","JAM","1","Jamaica, NY (USA)","08 APR 2000","1069","2000"
"4974","10.41","+1.1","Ryosuke MATSUSAKA","26 OCT 1978","JPN","4h4","Hiroshima (JPN)","29 APR 2000","1069","2000"
"4974","10.41","0.0","Reggie HOWARD","","USA","4","Houston, TX (USA)","06 MAY 2000","1069","2000"
"4974","10.41","+1.9","András DREMÁK","1974","HUN","3","Budapest (HUN)","16 JUN 2000","1069","2000"
"4974","10.41","+0.2","Mark HOWARD","18 APR 1980","IRL","1h1","Kaunas (LTU)","08 JUL 2000","1069","2000"
"4974","10.41","+0.7","Christopher DAVIDSON","04 DEC 1975","GBR","h","Budapest (HUN)","22 JUL 2000","1069","2000"
"4974","10.41","","Christos MAGOS","27 OCT 1977","GRE","1","Chalkida (GRE)","29 JUL 2000","1069","2000"
"4974","10.41","-0.7","Thomas MÜLLER","09 MAR 1978","GER","4","Braunschweig (GER)","29 JUL 2000","1073","2000"
"4974","10.41","+1.9","Kongdech NATANEE","29 MAY 1975","THA","4","Almaty (KAZ)","23 JUN 2001","1069","2001"
"4974","10.41","+0.4","Mike LIPSCOMB","01 AUG 1979","USA","3","Westwood, CA (USA)","16 MAR 2002","1069","2002"
"4974","10.41","","Jonat ROQUE","1984","CUB","2","La Habana (CUB)","19 APR 2002","1069","2002"
"4974","10.41","+1.0","Fred DAY","22 MAY 1981","USA","5h","Louisville, KY (USA)","10 MAY 2002","1069","2002"
"4974","10.41","","Calvin DAVIS","","USA","1","Iowa City, IA (USA)","18 MAY 2002","1069","2002"
"4974","10.41","+1.9","Shu CHEN","24 JUL 1979","CHN","2","Wuxi (CHN)","22 MAY 2002","1069","2002"
"4974","10.41","","Brandon JOHNSON","02 MAR 1985","USA","1","Houston, TX (USA)","13 JUL 2002","1069","2002"
